codebookType,startYear,endYear,name,docFile,docFileLink,dataFile,dataFileLink,published
Questionnaire,2013,2014,Alcohol Use,ALQ_H Doc,/Nchs/Nhanes/2013-2014/ALQ_H.htm,ALQ_H Data [XPT - 464.9 KB],/Nchs/Nhanes/2013-2014/ALQ_H.XPT,March 2016
Questionnaire,2015,2016,Alcohol Use,ALQ_I Doc,/Nchs/Nhanes/2015-2016/ALQ_I.htm,ALQ_I Data [XPT - 450.2 KB],/Nchs/Nhanes/2015-2016/ALQ_I.XPT,March 2018
Questionnaire,2017,2018,Alcohol Use,ALQ_J Doc,/Nchs/Nhanes/2017-2018/ALQ_J.htm,ALQ_J Data [XPT - 434.4 KB],/Nchs/Nhanes/2017-2018/ALQ_J.XPT,December 2020
Questionnaire,2017,2020,Alcohol Use,P_ALQ Doc,/Nchs/Nhanes/2017-2018/P_ALQ.htm,P_ALQ Data [XPT - 702.5 KB],/Nchs/Nhanes/2017-2018/P_ALQ.XPT,January 2022
Questionnaire,2009,2010,Alcohol Use (Ages 18-19),ALQY_F Doc,/Nchs/Nhanes/2009-2010/ALQY_F.htm,ALQY_F Data [XPT - 13.2 KB],/Nchs/Nhanes/2009-2010/ALQY_F.XPT,January 2012
Questionnaire,2005,2006,Allergy,AGQ_D Doc,/Nchs/Nhanes/2005-2006/AGQ_D.htm,AGQ_D Data [XPT - 1.8 MB],/Nchs/Nhanes/2005-2006/AGQ_D.XPT,June 2008
Questionnaire,1999,2000,Analgesic Pain Relievers,RXQ_ANA Doc,/Nchs/Nhanes/1999-2000/RXQ_ANA.htm,RXQ_ANA Data [XPT - 279.2 KB],/Nchs/Nhanes/1999-2000/RXQ_ANA.XPT,June 2002
Questionnaire,2003,2004,Analgesic Pain Relievers,RXQANA_C Doc,/Nchs/Nhanes/2003-2004/RXQANA_C.htm,RXQANA_C Data [XPT - 452.9 KB],/Nchs/Nhanes/2003-2004/RXQANA_C.XPT,June 2008
Questionnaire,2001,2002,Analgesic Pain Relievers,RXQANA_B Doc,/Nchs/Nhanes/2001-2002/RXQANA_B.htm,RXQANA_B Data [XPT - 310.2 KB],/Nchs/Nhanes/2001-2002/RXQANA_B.XPT,November 2005
Questionnaire,2009,2010,Arthritis,ARQ_F Doc,/Nchs/Nhanes/2009-2010/ARQ_F.htm,ARQ_F Data [XPT - 4.9 MB],/Nchs/Nhanes/2009-2010/ARQ_F.XPT,September 2011
Questionnaire,2007,2008,Audiometry,AUQ_E Doc,/Nchs/Nhanes/2007-2008/AUQ_E.htm,AUQ_E Data [XPT - 1.3 MB],/Nchs/Nhanes/2007-2008/AUQ_E.XPT,January 2010
Questionnaire,1999,2000,Audiometry,AUQ Doc,/Nchs/Nhanes/1999-2000/AUQ.htm,AUQ Data [XPT - 966.6 KB],/Nchs/Nhanes/1999-2000/AUQ.XPT,June 2002
Questionnaire,2005,2006,Audiometry,AUQ_D Doc,/Nchs/Nhanes/2005-2006/AUQ_D.htm,AUQ_D Data [XPT - 1.3 MB],/Nchs/Nhanes/2005-2006/AUQ_D.XPT,April 2009
Questionnaire,2003,2004,Audiometry,AUQ_C Doc,/Nchs/Nhanes/2003-2004/AUQ_C.htm,AUQ_C Data [XPT - 982.1 KB],/Nchs/Nhanes/2003-2004/AUQ_C.XPT,November 2005
Questionnaire,2001,2002,Audiometry,AUQ_B Doc,/Nchs/Nhanes/2001-2002/AUQ_B.htm,AUQ_B Data [XPT - 1 MB],/Nchs/Nhanes/2001-2002/AUQ_B.XPT,May 2004
Questionnaire,2009,2010,Audiometry,AUQ_F Doc,/Nchs/Nhanes/2009-2010/AUQ_F.htm,AUQ_F Data [XPT - 1.3 MB],/Nchs/Nhanes/2009-2010/AUQ_F.XPT,September 2011
Questionnaire,2011,2012,Audiometry,AUQ_G Doc,/Nchs/Nhanes/2011-2012/AUQ_G.htm,AUQ_G Data [XPT - 2.1 MB],/Nchs/Nhanes/2011-2012/AUQ_G.XPT,December 2013
Questionnaire,2015,2016,Audiometry,AUQ_I Doc,/Nchs/Nhanes/2015-2016/AUQ_I.htm,AUQ_I Data [XPT - 2.2 MB],/Nchs/Nhanes/2015-2016/AUQ_I.XPT,March 2018
Questionnaire,2017,2018,Audiometry,AUQ_J Doc,/Nchs/Nhanes/2017-2018/AUQ_J.htm,AUQ_J Data [XPT - 3.9 MB],/Nchs/Nhanes/2017-2018/AUQ_J.XPT,July 2020
Questionnaire,2017,2020,Audiometry,P_AUQ Doc,/Nchs/Nhanes/2017-2018/P_AUQ.htm,P_AUQ Data [XPT - 6.6 MB],/Nchs/Nhanes/2017-2018/P_AUQ.XPT,September 2021
Questionnaire,1999,2000,Balance,BAQ Doc,/Nchs/Nhanes/1999-2000/BAQ.htm,BAQ Data [XPT - 601.2 KB],/Nchs/Nhanes/1999-2000/BAQ.XPT,June 2002
Questionnaire,2003,2004,Balance,BAQ_C Doc,/Nchs/Nhanes/2003-2004/BAQ_C.htm,BAQ_C Data [XPT - 622.6 KB],/Nchs/Nhanes/2003-2004/BAQ_C.XPT,November 2005
Questionnaire,2001,2002,Balance,BAQ_B Doc,/Nchs/Nhanes/2001-2002/BAQ_B.htm,BAQ_B Data [XPT - 657.7 KB],/Nchs/Nhanes/2001-2002/BAQ_B.XPT,May 2004
Questionnaire,2005,2006,Blood Pressure & Cholesterol,BPQ_D Doc,/Nchs/Nhanes/2005-2006/BPQ_D.htm,BPQ_D Data [XPT - 770.3 KB],/Nchs/Nhanes/2005-2006/BPQ_D.XPT,November 2007
Questionnaire,2007,2008,Blood Pressure & Cholesterol,BPQ_E Doc,/Nchs/Nhanes/2007-2008/BPQ_E.htm,BPQ_E Data [XPT - 975.1 KB],/Nchs/Nhanes/2007-2008/BPQ_E.XPT,September 2009
Questionnaire,1999,2000,Blood Pressure & Cholesterol,BPQ Doc,/Nchs/Nhanes/1999-2000/BPQ.htm,BPQ Data [XPT - 1.7 MB],/Nchs/Nhanes/1999-2000/BPQ.XPT,June 2002
Questionnaire,2003,2004,Blood Pressure & Cholesterol,BPQ_C Doc,/Nchs/Nhanes/2003-2004/BPQ_C.htm,BPQ_C Data [XPT - 1.7 MB],/Nchs/Nhanes/2003-2004/BPQ_C.XPT,April 2006
Questionnaire,2001,2002,Blood Pressure & Cholesterol,BPQ_B Doc,/Nchs/Nhanes/2001-2002/BPQ_B.htm,BPQ_B Data [XPT - 1.8 MB],/Nchs/Nhanes/2001-2002/BPQ_B.XPT,May 2004
Questionnaire,2009,2010,Blood Pressure & Cholesterol,BPQ_F Doc,/Nchs/Nhanes/2009-2010/BPQ_F.htm,BPQ_F Data [XPT - 1.1 MB],/Nchs/Nhanes/2009-2010/BPQ_F.XPT,September 2011
Questionnaire,2011,2012,Blood Pressure & Cholesterol,BPQ_G Doc,/Nchs/Nhanes/2011-2012/BPQ_G.htm,BPQ_G Data [XPT - 726.5 KB],/Nchs/Nhanes/2011-2012/BPQ_G.XPT,September 2013
Questionnaire,2013,2014,Blood Pressure & Cholesterol,BPQ_H Doc,/Nchs/Nhanes/2013-2014/BPQ_H.htm,BPQ_H Data [XPT - 709.7 KB],/Nchs/Nhanes/2013-2014/BPQ_H.XPT,October 2015
Questionnaire,2015,2016,Blood Pressure & Cholesterol,BPQ_I Doc,/Nchs/Nhanes/2015-2016/BPQ_I.htm,BPQ_I Data [XPT - 546 KB],/Nchs/Nhanes/2015-2016/BPQ_I.XPT,September 2017
Questionnaire,2017,2018,Blood Pressure & Cholesterol,BPQ_J Doc,/Nchs/Nhanes/2017-2018/BPQ_J.htm,BPQ_J Data [XPT - 531.8 KB],/Nchs/Nhanes/2017-2018/BPQ_J.XPT,February 2020
Questionnaire,2017,2020,Blood Pressure & Cholesterol,P_BPQ Doc,/Nchs/Nhanes/2017-2018/P_BPQ.htm,P_BPQ Data [XPT - 878.4 KB],/Nchs/Nhanes/2017-2018/P_BPQ.XPT,May 2021
Questionnaire,2005,2006,Bowel Health,BHQ_D Doc,/Nchs/Nhanes/2005-2006/BHQ_D.htm,BHQ_D Data [XPT - 262.8 KB],/Nchs/Nhanes/2005-2006/BHQ_D.XPT,November 2007
Questionnaire,2007,2008,Bowel Health,BHQ_E Doc,/Nchs/Nhanes/2007-2008/BHQ_E.htm,BHQ_E Data [XPT - 313.8 KB],/Nchs/Nhanes/2007-2008/BHQ_E.XPT,September 2009
Questionnaire,2009,2010,Bowel Health,BHQ_F Doc,/Nchs/Nhanes/2009-2010/BHQ_F.htm,BHQ_F Data [XPT - 570.4 KB],/Nchs/Nhanes/2009-2010/BHQ_F.XPT,January 2012
Questionnaire,2005,2006,Cardiovascular Health,CDQ_D Doc,/Nchs/Nhanes/2005-2006/CDQ_D.htm,CDQ_D Data [XPT - 409 KB],/Nchs/Nhanes/2005-2006/CDQ_D.XPT,November 2007
Questionnaire,2007,2008,Cardiovascular Health,CDQ_E Doc,/Nchs/Nhanes/2007-2008/CDQ_E.htm,CDQ_E Data [XPT - 537.7 KB],/Nchs/Nhanes/2007-2008/CDQ_E.XPT,September 2009
Questionnaire,1999,2000,Cardiovascular Health,CDQ Doc,/Nchs/Nhanes/1999-2000/CDQ.htm,CDQ Data [XPT - 250.9 KB],/Nchs/Nhanes/1999-2000/CDQ.XPT,June 2002
Questionnaire,2003,2004,Cardiovascular Health,CDQ_C Doc,/Nchs/Nhanes/2003-2004/CDQ_C.htm,CDQ_C Data [XPT - 441.2 KB],/Nchs/Nhanes/2003-2004/CDQ_C.XPT,August 2006
Questionnaire,2001,2002,Cardiovascular Health,CDQ_B Doc,/Nchs/Nhanes/2001-2002/CDQ_B.htm,CDQ_B Data [XPT - 466.1 KB],/Nchs/Nhanes/2001-2002/CDQ_B.XPT,May 2004
Questionnaire,2009,2010,Cardiovascular Health,CDQ_F Doc,/Nchs/Nhanes/2009-2010/CDQ_F.htm,CDQ_F Data [XPT - 552.3 KB],/Nchs/Nhanes/2009-2010/CDQ_F.XPT,September 2011
Questionnaire,2011,2012,Cardiovascular Health,CDQ_G Doc,/Nchs/Nhanes/2011-2012/CDQ_G.htm,CDQ_G Data [XPT - 481.6 KB],/Nchs/Nhanes/2011-2012/CDQ_G.XPT,September 2013
Questionnaire,2013,2014,Cardiovascular Health,CDQ_H Doc,/Nchs/Nhanes/2013-2014/CDQ_H.htm,CDQ_H Data [XPT - 509.8 KB],/Nchs/Nhanes/2013-2014/CDQ_H.XPT,October 2015
Questionnaire,2015,2016,Cardiovascular Health,CDQ_I Doc,/Nchs/Nhanes/2015-2016/CDQ_I.htm,CDQ_I Data [XPT - 503.3 KB],/Nchs/Nhanes/2015-2016/CDQ_I.XPT,September 2017
Questionnaire,2017,2018,Cardiovascular Health,CDQ_J Doc,/Nchs/Nhanes/2017-2018/CDQ_J.htm,CDQ_J Data [XPT - 518.7 KB],/Nchs/Nhanes/2017-2018/CDQ_J.XPT,February 2020
Questionnaire,2017,2020,Cardiovascular Health,P_CDQ Doc,/Nchs/Nhanes/2017-2018/P_CDQ.htm,P_CDQ Data [XPT - 857.5 KB],/Nchs/Nhanes/2017-2018/P_CDQ.XPT,July 2021
Questionnaire,1999,2000,Cognitive Functioning,CFQ Doc,/Nchs/Nhanes/1999-2000/CFQ.htm,CFQ Data [XPT - 116.5 KB],/Nchs/Nhanes/1999-2000/CFQ.XPT,January 2005
Questionnaire,2001,2002,Cognitive Functioning,CFQ_B Doc,/Nchs/Nhanes/2001-2002/CFQ_B.htm,CFQ_B Data [XPT - 118.8 KB],/Nchs/Nhanes/2001-2002/CFQ_B.XPT,January 2005
Questionnaire,2011,2012,Cognitive Functioning ,CFQ_G Doc,/Nchs/Nhanes/2011-2012/CFQ_G.htm,CFQ_G Data [XPT - 253.8 KB],/Nchs/Nhanes/2011-2012/CFQ_G.XPT,March 2017
Questionnaire,2013,2014,Cognitive Functioning ,CFQ_H Doc,/Nchs/Nhanes/2013-2014/CFQ_H.htm,CFQ_H Data [XPT - 268.4 KB],/Nchs/Nhanes/2013-2014/CFQ_H.XPT,March 2017
Questionnaire,2007,2008,Consumer Behavior,CBQ_E Doc,/Nchs/Nhanes/2007-2008/CBQ_E.htm,CBQ_E Data [XPT - 1.4 MB],/Nchs/Nhanes/2007-2008/CBQ_E.XPT,May 2010
Questionnaire,2009,2010,Consumer Behavior,CBQ_F Doc,/Nchs/Nhanes/2009-2010/CBQ_F.htm,CBQ_F Data [XPT - 1.5 MB],/Nchs/Nhanes/2009-2010/CBQ_F.XPT,February 2013
Questionnaire,2011,2012,Consumer Behavior,CBQ_G Doc,/Nchs/Nhanes/2011-2012/CBQ_G.htm,CBQ_G Data [XPT - 458.9 KB],/Nchs/Nhanes/2011-2012/CBQ_G.XPT,February 2015
Questionnaire,2013,2014,Consumer Behavior,CBQ_H Doc,/Nchs/Nhanes/2013-2014/CBQ_H.htm,CBQ_H Data [XPT - 478.5 KB],/Nchs/Nhanes/2013-2014/CBQ_H.XPT,November 2015
Questionnaire,2015,2016,Consumer Behavior,CBQ_I Doc,/Nchs/Nhanes/2015-2016/CBQ_I.htm,CBQ_I Data [XPT - 469 KB],/Nchs/Nhanes/2015-2016/CBQ_I.XPT,September 2018
Questionnaire,2017,2018,Consumer Behavior,CBQ_J Doc,/Nchs/Nhanes/2017-2018/CBQ_J.htm,CBQ_J Data [XPT - 435.4 KB],/Nchs/Nhanes/2017-2018/CBQ_J.XPT,April 2021
Questionnaire,2007,2008,Consumer Behavior Phone Follow-up Module - Adult,CBQPFA_E Doc,/Nchs/Nhanes/2007-2008/CBQPFA_E.htm,CBQPFA_E Data [XPT - 2.7 MB],/Nchs/Nhanes/2007-2008/CBQPFA_E.XPT,April 2012
Questionnaire,2009,2010,Consumer Behavior Phone Follow-up Module - Adult,CBQPFA_F Doc,/Nchs/Nhanes/2009-2010/CBQPFA_F.htm,CBQPFA_F Data [XPT - 4.3 MB],/Nchs/Nhanes/2009-2010/CBQPFA_F.XPT,April 2013
Questionnaire,2017,2018,Consumer Behavior Phone Follow-up Module - Adult,CBQPFA_J Doc,/Nchs/Nhanes/2017-2018/CBQPFA_J.htm,CBQPFA_J Data [XPT - 2.7 MB],/Nchs/Nhanes/2017-2018/CBQPFA_J.XPT,June 2021
Questionnaire,2007,2008,Consumer Behavior Phone Follow-up Module - Child,CBQPFC_E Doc,/Nchs/Nhanes/2007-2008/CBQPFC_E.htm,CBQPFC_E Data [XPT - 1.3 MB],/Nchs/Nhanes/2007-2008/CBQPFC_E.XPT,April 2012
Questionnaire,2009,2010,Consumer Behavior Phone Follow-up Module - Child,CBQPFC_F Doc,/Nchs/Nhanes/2009-2010/CBQPFC_F.htm,CBQPFC_F Data [XPT - 1.9 MB],/Nchs/Nhanes/2009-2010/CBQPFC_F.XPT,April 2013
Questionnaire,2017,2018,Consumer Behavior Phone Follow-up Module - Child ,CBQPFC_J Doc,/Nchs/Nhanes/2017-2018/CBQPFC_J.htm,CBQPFC_J Data [XPT - 1.1 MB],/Nchs/Nhanes/2017-2018/CBQPFC_J.XPT,June 2021
Questionnaire,2011,2012,Creatine Kinase,CKQ_G Doc,/Nchs/Nhanes/2011-2012/CKQ_G.htm,CKQ_G Data [XPT - 411.2 KB],/Nchs/Nhanes/2011-2012/CKQ_G.XPT,September 2013
Questionnaire,2013,2014,Creatine Kinase,CKQ_H Doc,/Nchs/Nhanes/2013-2014/CKQ_H.htm,CKQ_H Data [XPT - 438 KB],/Nchs/Nhanes/2013-2014/CKQ_H.XPT,February 2017
Questionnaire,2005,2006,Current Health Status,HSQ_D Doc,/Nchs/Nhanes/2005-2006/HSQ_D.htm,HSQ_D Data [XPT - 887.3 KB],/Nchs/Nhanes/2005-2006/HSQ_D.XPT,January 2008
Questionnaire,2007,2008,Current Health Status,HSQ_E Doc,/Nchs/Nhanes/2007-2008/HSQ_E.htm,HSQ_E Data [XPT - 1020.6 KB],/Nchs/Nhanes/2007-2008/HSQ_E.XPT,September 2009
Questionnaire,1999,2000,Current Health Status,HSQ Doc,/Nchs/Nhanes/1999-2000/HSQ.htm,HSQ Data [XPT - 553.8 KB],/Nchs/Nhanes/1999-2000/HSQ.XPT,June 2002
Questionnaire,2003,2004,Current Health Status,HSQ_C Doc,/Nchs/Nhanes/2003-2004/HSQ_C.htm,HSQ_C Data [XPT - 896.2 KB],/Nchs/Nhanes/2003-2004/HSQ_C.XPT,May 2006
Questionnaire,2001,2002,Current Health Status,HSQ_B Doc,/Nchs/Nhanes/2001-2002/HSQ_B.htm,HSQ_B Data [XPT - 975.7 KB],/Nchs/Nhanes/2001-2002/HSQ_B.XPT,January 2004
Questionnaire,2009,2010,Current Health Status,HSQ_F Doc,/Nchs/Nhanes/2009-2010/HSQ_F.htm,HSQ_F Data [XPT - 1.1 MB],/Nchs/Nhanes/2009-2010/HSQ_F.XPT,August 2012
Questionnaire,2011,2012,Current Health Status,HSQ_G Doc,/Nchs/Nhanes/2011-2012/HSQ_G.htm,HSQ_G Data [XPT - 982.3 KB],/Nchs/Nhanes/2011-2012/HSQ_G.XPT,September 2013
Questionnaire,2013,2014,Current Health Status,HSQ_H Doc,/Nchs/Nhanes/2013-2014/HSQ_H.htm,HSQ_H Data [XPT - 664.5 KB],/Nchs/Nhanes/2013-2014/HSQ_H.XPT,December 2015
Questionnaire,2015,2016,Current Health Status,HSQ_I Doc,/Nchs/Nhanes/2015-2016/HSQ_I.htm,HSQ_I Data [XPT - 646.4 KB],/Nchs/Nhanes/2015-2016/HSQ_I.XPT,September 2017
Questionnaire,2017,2018,Current Health Status,HSQ_J Doc,/Nchs/Nhanes/2017-2018/HSQ_J.htm,HSQ_J Data [XPT - 590.2 KB],/Nchs/Nhanes/2017-2018/HSQ_J.XPT,February 2020
Questionnaire,2017,2020,Current Health Status,P_HSQ Doc,/Nchs/Nhanes/2017-2018/P_HSQ.htm,P_HSQ Data [XPT - 148.6 KB],/Nchs/Nhanes/2017-2018/P_HSQ.XPT,July 2021
Questionnaire,2005,2006,Dermatology,DEQ_D Doc,/Nchs/Nhanes/2005-2006/DEQ_D.htm,DEQ_D Data [XPT - 322 KB],/Nchs/Nhanes/2005-2006/DEQ_D.XPT,May 2008
Questionnaire,1999,2000,Dermatology,DEQ Doc,/Nchs/Nhanes/1999-2000/DEQ.htm,DEQ Data [XPT - 3.5 MB],/Nchs/Nhanes/1999-2000/DEQ.XPT,June 2002
Questionnaire,2003,2004,Dermatology,DEQ_C Doc,/Nchs/Nhanes/2003-2004/DEQ_C.htm,DEQ_C Data [XPT - 691.4 KB],/Nchs/Nhanes/2003-2004/DEQ_C.XPT,August 2006
Questionnaire,2001,2002,Dermatology,DEQ_B Doc,/Nchs/Nhanes/2001-2002/DEQ_B.htm,DEQ_B Data [XPT - 500.9 KB],/Nchs/Nhanes/2001-2002/DEQ_B.XPT,May 2004
Questionnaire,2009,2010,Dermatology,DEQ_F Doc,/Nchs/Nhanes/2009-2010/DEQ_F.htm,DEQ_F Data [XPT - 293.4 KB],/Nchs/Nhanes/2009-2010/DEQ_F.XPT,Updated August 2017
Questionnaire,2013,2014,Dermatology,DEQ_H Doc,/Nchs/Nhanes/2013-2014/DEQ_H.htm,DEQ_H Data [XPT - 278.2 KB],/Nchs/Nhanes/2013-2014/DEQ_H.XPT,Updated August 2017
Questionnaire,2011,2012,Dermatology,DEQ_G Doc,/Nchs/Nhanes/2011-2012/DEQ_G.htm,DEQ_G Data [XPT - 267 KB],/Nchs/Nhanes/2011-2012/DEQ_G.XPT,Updated August 2017
Questionnaire,2015,2016,Dermatology,DEQ_I Doc,/Nchs/Nhanes/2015-2016/DEQ_I.htm,DEQ_I Data [XPT - 270.5 KB],/Nchs/Nhanes/2015-2016/DEQ_I.XPT,September 2017
Questionnaire,2017,2018,Dermatology,DEQ_J Doc,/Nchs/Nhanes/2017-2018/DEQ_J.htm,DEQ_J Data [XPT - 242.4 KB],/Nchs/Nhanes/2017-2018/DEQ_J.XPT,February 2020
Questionnaire,2017,2020,Dermatology,P_DEQ Doc,/Nchs/Nhanes/2017-2018/P_DEQ.htm,P_DEQ Data [XPT - 273.9 KB],/Nchs/Nhanes/2017-2018/P_DEQ.XPT,June 2021
Questionnaire,2007,2008,Diabetes,DIQ_E Doc,/Nchs/Nhanes/2007-2008/DIQ_E.htm,DIQ_E Data [XPT - 2.7 MB],/Nchs/Nhanes/2007-2008/DIQ_E.XPT,Updated April 2011
Questionnaire,1999,2000,Diabetes,DIQ Doc,/Nchs/Nhanes/1999-2000/DIQ.htm,DIQ Data [XPT - 1.2 MB],/Nchs/Nhanes/1999-2000/DIQ.XPT,June 2002
Questionnaire,2005,2006,Diabetes,DIQ_D Doc,/Nchs/Nhanes/2005-2006/DIQ_D.htm,DIQ_D Data [XPT - 2.7 MB],/Nchs/Nhanes/2005-2006/DIQ_D.XPT,Updated April 2011
Questionnaire,2003,2004,Diabetes,DIQ_C Doc,/Nchs/Nhanes/2003-2004/DIQ_C.htm,DIQ_C Data [XPT - 1.3 MB],/Nchs/Nhanes/2003-2004/DIQ_C.XPT,April 2006
Questionnaire,2001,2002,Diabetes,DIQ_B Doc,/Nchs/Nhanes/2001-2002/DIQ_B.htm,DIQ_B Data [XPT - 1.4 MB],/Nchs/Nhanes/2001-2002/DIQ_B.XPT,May 2004
Questionnaire,2009,2010,Diabetes,DIQ_F Doc,/Nchs/Nhanes/2009-2010/DIQ_F.htm,DIQ_F Data [XPT - 1.5 MB],/Nchs/Nhanes/2009-2010/DIQ_F.XPT,September 2011
Questionnaire,2011,2012,Diabetes,DIQ_G Doc,/Nchs/Nhanes/2011-2012/DIQ_G.htm,DIQ_G Data [XPT - 3.8 MB],/Nchs/Nhanes/2011-2012/DIQ_G.XPT,September 2013
Questionnaire,2013,2014,Diabetes,DIQ_H Doc,/Nchs/Nhanes/2013-2014/DIQ_H.htm,DIQ_H Data [XPT - 4 MB],/Nchs/Nhanes/2013-2014/DIQ_H.XPT,October 2015
Questionnaire,2015,2016,Diabetes,DIQ_I Doc,/Nchs/Nhanes/2015-2016/DIQ_I.htm,DIQ_I Data [XPT - 4 MB],/Nchs/Nhanes/2015-2016/DIQ_I.XPT,September 2017
Questionnaire,2017,2018,Diabetes,DIQ_J Doc,/Nchs/Nhanes/2017-2018/DIQ_J.htm,DIQ_J Data [XPT - 3.7 MB],/Nchs/Nhanes/2017-2018/DIQ_J.XPT,February 2020
Questionnaire,2017,2020,Diabetes,P_DIQ Doc,/Nchs/Nhanes/2017-2018/P_DIQ.htm,P_DIQ Data [XPT - 3.2 MB],/Nchs/Nhanes/2017-2018/P_DIQ.XPT,May 2021
Questionnaire,2005,2006,Diet Behavior & Nutrition,DBQ_D Doc,/Nchs/Nhanes/2005-2006/DBQ_D.htm,DBQ_D Data [XPT - 4.2 MB],/Nchs/Nhanes/2005-2006/DBQ_D.XPT,November 2007
Questionnaire,1999,2000,Diet Behavior & Nutrition,DBQ Doc,/Nchs/Nhanes/1999-2000/DBQ.htm,DBQ Data [XPT - 3.5 MB],/Nchs/Nhanes/1999-2000/DBQ.XPT,June 2002
Questionnaire,2007,2008,Diet Behavior & Nutrition,DBQ_E Doc,/Nchs/Nhanes/2007-2008/DBQ_E.htm,DBQ_E Data [XPT - 4.2 MB],/Nchs/Nhanes/2007-2008/DBQ_E.XPT,May 2010
